original_name,coral_ID,genet,species,time,bank,sam
X03_S30_R1_001.trim.sam.counts,RR7_03,10,fav,recovery,east,fav_recovery_east_10
X04_S23_R1_001.trim.sam.counts,RR7_04,11,frank,recovery,east,frank_recovery_east_11
X05_S16_R1_001.trim.sam.counts,RR7_05,12,fav,recovery,east,fav_recovery_east_12
X07_S21_R1_001.trim.sam.counts,RR7_07,13,fav,recovery,east,fav_recovery_east_13
X09_S41_R1_001.trim.sam.counts,RR7_09,14,frank,recovery,west,frank_recovery_west_14
X10_S14_R1_001.trim.sam.counts,RR7_10,15,fav,recovery,west,fav_recovery_west_15
X12_S43_R1_001.trim.sam.counts,RR7_12,16,frank,recovery,east,frank_recovery_east_16
X13_S31_R1_001.trim.sam.counts,RR7_13,17,fav,recovery,east,fav_recovery_east_17
X15_S13_R1_001.trim.sam.counts,RR7_15,18,fav,recovery,east,fav_recovery_east_18
X16_S6_R1_001.trim.sam.counts,RR7_16,19,frank,recovery,east,frank_recovery_east_19
X17_S32_R1_001.trim.sam.counts,RR7_17,20,frank,recovery,west,frank_recovery_west_20
X19_S17_R1_001.trim.sam.counts,RR7_19,21,fav,recovery,west,fav_recovery_west_21
X20_S10_R1_001.trim.sam.counts,RR7_20,22,frank,recovery,west,frank_recovery_west_22
X25_S3_R1_001.trim.sam.counts,RR7_25,23,frank,recovery,west,frank_recovery_west_23
X26_S9_R1_001.trim.sam.counts,RR7_26,24,fav,recovery,west,fav_recovery_west_24
X27_S19_R1_001.trim.sam.counts,RR7_27,25,frank,recovery,west,frank_recovery_west_25
X28_S12_R1_001.trim.sam.counts,RR7_28,26,fav,recovery,west,fav_recovery_west_26
X29_S45_R1_001.trim.sam.counts,RR7_29,27,frank,recovery,west,frank_recovery_west_27
X30_S2_R1_001.trim.sam.counts,RR7_30,28,frank,recovery,east,frank_recovery_east_28
X31_S26_R1_001.trim.sam.counts,RR7_31,29,frank,recovery,west,frank_recovery_west_29
X32_S27_R1_001.trim.sam.counts,RR7_32,30,fav,recovery,west,fav_recovery_west_30
X33_S20_R1_001.trim.sam.counts,RR7_33,31,fav,recovery,west,fav_recovery_west_31
X34_S33_R1_001.trim.sam.counts,RR7_34,32,frank,recovery,west,frank_recovery_west_32
X36_S36_R1_001.trim.sam.counts,RR7_36,33,fav,recovery,west,fav_recovery_west_33
X37_S7_R1_001.trim.sam.counts,RR7_37,34,frank,recovery,east,frank_recovery_east_34
X41_S35_R1_001.trim.sam.counts,RR7_41,35,fav,recovery,east,fav_recovery_east_35
X42_S38_R1_001.trim.sam.counts,RR7_42,36,frank,recovery,east,frank_recovery_east_36
OFRUE.10_S44_R1_001.trim.sam.counts,OFRUE.10,37,frank,stress,east,frank_stress_east_37
OFRUE.1_S1_R1_001.trim.sam.counts,OFRUE.1,38,frank,stress,east,frank_stress_east_38
OFRUE.2_S25_R1_001.trim.sam.counts,OFRUE.2,39,frank,stress,east,frank_stress_east_39
OFRUE.3_S18_R1_001.trim.sam.counts,OFRUE.3,40,frank,stress,east,frank_stress_east_40
OFRUE.4_S11_R1_001.trim.sam.counts,OFRUE.4,41,frank,stress,east,frank_stress_east_41
OFRUE.5_S4_R1_001.trim.sam.counts,OFRUE.5,42,frank,stress,east,frank_stress_east_42
OFRUE.6_S24_R1_001.trim.sam.counts,OFRUE.6,43,frank,stress,east,frank_stress_east_43
OFRUE.7_S37_R1_001.trim.sam.counts,OFRUE.7,44,frank,stress,east,frank_stress_east_44
OFRUE.8_S47_R1_001.trim.sam.counts,OFRUE.8,45,frank,stress,east,frank_stress_east_45
OFRUE.9_S40_R1_001.trim.sam.counts,OFRUE.9,46,frank,stress,east,frank_stress_east_46
OFUE.10_S46_R1_001.trim.sam.counts,OFUE.10,47,fav,stress,east,fav_stress_east_47
OFUE.1_S5_R1_001.trim.sam.counts,OFUE.1,48,fav,stress,east,fav_stress_east_48
OFUE.2_S29_R1_001.trim.sam.counts,OFUE.2,49,fav,stress,east,fav_stress_east_49
OFUE.3_S22_R1_001.trim.sam.counts,OFUE.3,50,fav,stress,east,fav_stress_east_50
OFUE.4_S15_R1_001.trim.sam.counts,OFUE.4,51,fav,stress,east,fav_stress_east_51
OFUE.5_S8_R1_001.trim.sam.counts,OFUE.5,52,fav,stress,east,fav_stress_east_52
OFUE.6_S28_R1_001.trim.sam.counts,OFUE.6,53,fav,stress,east,fav_stress_east_53
OFUE.7_S39_R1_001.trim.sam.counts,OFUE.7,54,fav,stress,east,fav_stress_east_54
OFUE.8_S34_R1_001.trim.sam.counts,OFUE.8,55,fav,stress,east,fav_stress_east_55
OFUE.9_S42_R1_001.trim.sam.counts,OFUE.9,56,fav,stress,east,fav_stress_east_56